1,קניון,20,dhd,2025,תל אביב יפו,כרם,0.02
2,רכבת,40,dhd,2026,תל אביב יפו,רמת אביב החדשה,0.05
3,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
4,בית-ספר,100,dhd,2026,תל אביב יפו,סי אן סן,0.03
5,רכבת,70,dhd,2028,תל אביב יפו,TLV,0.05
6,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
7,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
8,קניון,20,dhd,2025,תל אביב יפו,רמת אביב ג,0.02
9,רכבת,40,dhd,2026,תל אביב יפו,צהלה,0.05
10,בית-ספר,30,dhd,2027,תל אביב יפו,בני דן,0.03
11,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
12,רכבת,70,dhd,2028,תל אביב יפו,הירקון השקט,0.05
13,קניון,100,dhd,2028,תל אביב יפו,לב תל אביב,0.04
14,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
15,קניון,20,dhd,2025,תל אביב יפו,פלורנטין,0.02
16,רכבת,40,dhd,2026,תל אביב יפו,נופי ים,0.05
17,בית-ספר,30,dhd,2027,תל אביב יפו,רמת הנשיא,0.03
18,בית-ספר,100,dhd,2026,תל אביב יפו,רמת אילן,0.03
19,רכבת,70,dhd,2028,תל אביב יפו,המשתלה,0.05
20,קניון,100,dhd,2028,תל אביב יפו,יד אליהו,0.04
21,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
22,קניון,20,dhd,2025,תל אביב יפו,גני שרונה,0.02
23,רכבת,40,dhd,2026,תל אביב יפו,ביצרון,0.05
24,בית-ספר,30,dhd,2027,תל אביב יפו,הרכבת,0.03
25,בית-ספר,100,dhd,2026,תל אביב יפו,גן ורשא,0.03
26,רכבת,70,dhd,2028,תל אביב יפו,קרית משה,0.05
27,קניון,100,dhd,2028,תל אביב יפו,הצפון הישן,0.04
28,אוניברסיטה,80,dhd,2029,תל אביב יפו,פרדס כץ,0.1
29,קניון,20,dhd,2025,תל אביב יפו,פרדס כץ,0.02
30,רכבת,40,dhd,2026,תל אביב יפו,לב העיר,0.05
31,בית-ספר,30,dhd,2027,תל אביב יפו,נווה שרת,0.03
32,בית-ספר,100,dhd,2026,תל אביב יפו,רביבים,0.03
33,רכבת,70,dhd,2028,תל אביב יפו,ויז'ניץ,0.05
34,קניון,100,dhd,2028,תל אביב יפו,מרכז העיר,0.04
35,אוניברסיטה,80,dhd,2029,תל אביב יפו,ברוריה,0.1
36,קניון,20,dhd,2025,תל אביב יפו,ברוריה,0.02
37,רכבת,40,dhd,2026,תל אביב יפו,גבעת רוקח,0.05
38,בית-ספר,30,dhd,2027,תל אביב יפו,קרית בן גוריון,0.03
39,בית-ספר,100,dhd,2026,תל אביב יפו,רמת אביב הירוקה,0.03
40,רכבת,70,dhd,2028,תל אביב יפו,לב העיר,0.05
41,קניון,100,dhd,2028,תל אביב יפו,שרת,0.04
42,אוניברסיטה,80,dhd,2029,תל אביב יפו,יפו ד` - גבעת התמרים,0.1
43,קניון,20,dhd,2025,תל אביב יפו,הצפון הישן,0.02
44,רכבת,40,dhd,2026,תל אביב יפו,אזור ככר המדינה,0.05
45,בית-ספר,30,dhd,2027,תל אביב יפו,ג'סי כהן,0.03
46,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
47,רכבת,70,dhd,2028,תל אביב יפו,נווה אביבים,0.05
48,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
49,אוניברסיטה,80,dhd,2029,תל אביב יפו,כוכב הצפון,0.1
50,קניון,20,dhd,2025,תל אביב יפו,פי גלילות,0.02
51,רכבת,40,dhd,2026,תל אביב יפו,לב העיר,0.05
52,בית-ספר,30,dhd,2027,תל אביב יפו,שכונת התקווה,0.03
53,בית-ספר,100,dhd,2026,תל אביב יפו,שכונת התקווה,0.03
54,רכבת,70,dhd,2028,תל אביב יפו,הצפון הישן,0.05
55,קניון,100,dhd,2028,תל אביב יפו,נהריה הירוקה,0.04
56,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
57,קניון,20,dhd,2025,תל אביב יפו,גורדון,0.02
58,רכבת,40,dhd,2026,תל אביב יפו,תל אביב צפון,0.05
59,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
