1,2,דירה,נחמיה,כרם,תל אביב יפו,4225000,0
2,4,דירה,אלי כהן,רמת אביב החדשה,ת״א צפונית לירקון,5995000,11
3,3,דירה,ארבע ארצות,הצפון הישן,תל אביב יפו,5500000,4
4,2,דירה,הרצל רוזנבלום,סי אן סן,תל אביב יפו,4000050,0
5,2,דירה,פארק tlv,TLV,תל אביב יפו,3150000,15
6,3.5,דירה,מנדלסון,לב העיר,תל אביב יפו,5200000,1
7,3,דירה,הקונגרס,מרכז,תל אביב יפו,3100000,3
8,4,דירה,אליהו ברלין,רמת אביב ג,תל אביב יפו,7500000,9
9,1,מגרש למגורים,צה״ל,צהלה,תל אביב יפו,22000000,0
10,4,דירה,בלוך,בני דן,תל אביב יפו,6670000,2
11,5,דירה,בן יהודה 168,הצפון הישן,תל אביב יפו,5700000,0
12,2,דירה,הירקון,הירקון השקט,תל אביב,4800000,1
13,3,דירה,מזאה,לב תל אביב,תל אביב יפו,2000000,2
14,1,דירה,שמריהו לוין,לב העיר,תל אביב יפו,460000,0
15,3.5,דירה,העלייה,פלורנטין,תל אביב יפו,3350000,1
16,4,דירה,אמיר גלבוע,נופי ים,תל אביב,4850000,2
17,4,דירה,אנה פרנק 29,רמת הנשיא,בת ים,2650000,0
18,2,דירה,זבוטינסקי 5,רמת אילן,גבעת שמואל,1500000,11
19,3,דירה,דוד אבידן,המשתלה,תל אביב יפו,3799999,2
20,2,דירה,וינגייט,יד אליהו,תל אביב יפו,2649000,13
21,2,דירה,אחדהעם,מרכז,תל אביב,3300000,2
22,5,מיני פנטהאוז,יורם קניוק 1,גני שרונה,תל אביב יפו,10990000,7
23,4,דירה,שדרות ההשכלה,ביצרון,תל אביב יפו,5100000,15
24,1,חניה,המסגר,הרכבת,תל אביב יפו,5000000,0
25,3,דירה,רבי עקיבא,גן ורשא,בני ברק,2200,2
26,4.5,דירה,צבי הורוביץ,קרית משה,רחובות,1900000,1
27,5,דירה,ברנדייס,הצפון הישן,תל אביב יפו,9250000,3
28,3,דירה,השניים,פרדס כץ,בני ברק,1880000,3
29,3,דירה,המכבים,פרדס כץ,בני ברק,1980000,2
30,2,דירה,בית לחם,לב העיר,תל אביב יפו,2550000,1
31,4,דירה,בית אל,נווה שרת,תל אביב יפו,4900000,19
32,6.5,דירת גן,דבורה הנביאה,רביבים,תל אביב יפו,7950000,0
33,3.5,דירה,נחמיה,ויז'ניץ,בני ברק,2050000,3
34,3.5,דירה,לוריא,מרכז העיר,תל אביב יפו,2250000,3
35,4,דירה,נחלת יצחק,ברוריה,תל אביב יפו,4900000,3
36,1,דירה,נחלת יצחק,ברוריה,תל אביב יפו,4800000,3
37,4,דירה,חת''ם סופר,גבעת רוקח,בני ברק,2630000,0
38,4,דירה,דוד צדוק,קרית בן גוריון,חולון,2700000,2
39,3.5,דירת גן,כפר יונה,רמת אביב הירוקה,תל אביב יפו,6500000,0
40,3,דירת גן,הרב קוק,לב העיר,תל אביב יפו,6000000,0
41,4,דירה,שרת,שרת,בת ים,2800000,3
42,2.5,מיני פנטהאוז,חיננית,יפו ד` - גבעת התמרים,תל אביב יפו,2850000,4
43,1,יחידת דיור,ישעיהו 13,הצפון הישן,תל אביב יפו,1690000,0
44,5,דירה,פנקס 52,אזור ככר המדינה,תל אביב יפו,8800000,8
45,3.5,דירה,ארבע ארצות,ג'סי כהן,חולון,1720000,3
46,3.5,דירה,אמיל זולא,הצפון הישן,תל אביב יפו,4800000,0
47,4,דירה,רב אשי,נווה אביבים,תל אביב יפו,6500000,3
48,2,דירת גן,מלצ'ט,לב העיר,תל אביב יפו,4100000,0
49,5,דירה,אבא קובנר,כוכב הצפון,תל אביב יפו,6970000,7
50,4,דירה,איינשטיין,פי גלילות,רמת השרון,1400000,0
51,2,דירה,שמריהו לוין,לב העיר,תל אביב יפו,4800000,1
52,3,דירה,בת שבע כצנלסון,שכונת התקווה,תל אביב יפו,19000000,0
53,3,דירה,בת שבע כצנלסון,שכונת התקווה,תל אביב יפו,19000000,0
54,4,דירה,אבן גבירול,הצפון הישן,תל אביב יפו,5600000,2
55,4,דירה,נשר,נהריה הירוקה,נהריה,1610000,8
56,3,דירה,העבודה,לב העיר,תל אביב יפו,5200000,1
57,4,דירה,גורדון,גורדון,תל א,14000000,5
58,4,דירה,פרוג,תל אביב צפון,תל אביב יפו,14200000,2
59,4,דירה,דיזנגוף,הצפון הישן,תל אביב,4500000,4
60,4,דירה,דרך בן גוריון,טיילת,בת ים,4200000,5
61,3,דירה,פנקס 44,צפון תל אביב,תל אביב - יפו,5700000,7
62,2,דירה,בן יהודה,הצפון הישן,תל אביב יפו,2990000,1
63,4.5,דירה,בר כוכבא,הצפון הישן,תל אביב יפו,5500000,3
64,4,דירה,יונה הנביא,כרם התימנים,תל אביב יפו,5700000,1
65,4,דירת גן,ישעיהו,הצפון הישן,תל אביב יפו,6900000,0
66,5,דירה,פוליאקוב ישראל,קרית האומנים - מצליח,רמלה,28500000,0
67,3,דירת גן,ראשונים,נווה צדק,תל אביב יפו,8400000,0
68,3,דירת גן,ראשונים,נוה צדק,תל אביב יפו,8400000,0
69,4,דירה,השופטים,לב העיר,תל אביב יפו,6900000,1
70,5.5,מיני פנטהאוז,יהודה המכבי,הצפון הישן,תל אביב יפו,11000000,5
71,5,מיני פנטהאוז,שנקין,לב העיר,תל אביב יפו,11550000,5
72,1,מגרש למגורים,לבנדה,נוה שאנן,תל אביב יפו,12000000,0
73,5,דופלקס,מיכאל נאמן,לב העיר,תל אביב יפו,12800000,11
74,4.5,דירה,בר כוכבא,לב העיר,תל אביב יפו,5500000,3
75,5,פנטהאוז,רקנאטי,רמת אביב ג,תל אביב יפו,14250000,10
76,3,דירה,מאיר יערי,כוכב הצפון,תל אביב יפו,5120000,1
77,5.5,דירה,חזית חמש,תל גיבורים,חולון,2750000,7
78,1,דירת סטודיו,החלוצים,פלורנטין,תל אביב יפו,800000,0
79,2,דירה,החשמונאים,גני שרונה,תל אביב יפו,3580000,6
80,4,דירת גג,טשרניחובסקי,לב תל אביב,תל אביב - יפו,7400000,4
81,3,דירה,בוגרשוב,מרכז,תל אביב יפו,4600000,2
82,5,דירת גג,הפרחים,יהודה קן דרור,קרית גת,24000000,14
83,1,דירה,אבולעפיה,פלורנטין,תל אביב יפו,1450000,1
84,7,טריפלקס,הרב קוק,הר שלום,בני ברק,2495000,4
85,5,דירה,"זלמן שז""ר",נווה עופר - תל כביר,תל אביב יפו,4350000,0
86,4,פנטהאוז,טשרניחובסקי,לב העיר,תל אביב - יפו,7900000,4
87,4,דירת גן,הרב משולם ראט,קרית הרצוג,בני ברק,2500000,0
88,5,פנטהאוז,טשרניחובסקי,לב העיר,תל אביב יפו,8250000,4
89,4,דירה,נחום סוקולוב,הצפון הישן,תל אביב יפו,7000000,4
90,4,דירה,החשמונאים,גני שרונה,תל אביב יפו,4200000,42
91,4,דירה,בנימיני,נחלת יצחק,תל אביב יפו,3650000,5
92,3,דירה,דוד אבידן,המשתלה,תל אביב יפו,7000,1
93,1,דירה,חי,חי,גן התעשייה תל חי,0,0
94,4,דירת גן,בלוך,בני דן,תל אביב יפו,5700000,0
95,3,דירה,הנרייטה סולד,מגורים,תל אביב יפו,5700000,3
96,5,דופלקס,ישמח משה,8,בני ברק,3000000,3
97,3.5,דירה,רחבת הגייסות,יד אליהו,תל אביב יפו,30000000,0
98,5,דופלקס,ישמח משה,מרכז,בני ברק,3000000,3
99,5,דופלקס,ישמח משה,מרכז,בני ברק,3000000,3
100,2,דירה,יונתן הופסי,הצפון הישן,תל אביב יפו,3070000,1
101,1,דירת סטודיו,אבולפיה,פלורנ,תל אביב יפו,1500000,1
102,4,דירה,Mordekhai Namir Road -Ehuda Maccabi st.,Old North,Tel Aviv,2900000,3
103,3,דירה,הבנים,קרול,"פ""ת",1850000,0
104,5.5,דופלקס,ישמח משה,סטנס,בני ברק,3000000,3
105,4,דירה,המלך ג'ורג',לב העיר,תל אביב יפו,4650000,4
106,3,דירה,ההגנה,לב העיר,בת ים,1580000,1
107,3,דירה,"זלמן שז""ר 26/3",פורייה - נווה עובד,פורייה - נווה עופד,2000100,1
108,4,דירה,ביאליק,קרית אונו הותיקה,קרית אונו,2660000,10
109,5,דירה,יחזקאל שטרייכמן,הגוש הגדול,תל אביב יפו,6700000,5
110,4,דירה,שדרות לוי אשכול,רמת אביב החדשה,תל אביב יפו,4300000,6
111,4,דירה,וילסון,מרכז,תל אביב יפו,4850000,2
112,4.5,דירה,שבטי ישראל,גבעת סוקולוב,בני ברק,2100000,1
113,4.5,דירה,אבן שפרוט,גבעת סוקולוב,בני ברק,2100000,0
114,2.5,דירה,רבי יהודה הנשיא,שיכון ההסתדרות,בני ברק,1600000,1
115,2.5,דירה,פיארברג,לב העיר,תל אביב יפו,4275000,2
116,3.5,דירת גג,"מאז""ה",מרכז,תל אביב יפו,6700000,5
117,1,דירה,בית לחם,מדרחוב בצלאל,תל-אביב,1200000,1
118,4,דירה,צמרות,מתחם פארק צמרת,תל אביב יפו,5700000,5
119,3,דירה,פרדס בחסכון,פרדס בחסכון,אור יהודה,2290000,7
120,5,דירה,הבנים,ההסתדרות,אור יהודה,1690000,4
121,4,דירה,כרם התימנים,כרם התימנים,תל אביב יפו,4400000,1
122,4,דופלקס,מקס ברוד,הצפון הישן,תל אביב יפו,4900000,6
123,1,דירה,נחום סוקולוב,הצפון הישן,תל אביב יפו,1725000,0
124,1,דירה,Tel Aviv-Yafo,הצפון הישן,Tel Aviv,40000,2
125,2,דירה,ויצמן,הצפון הישן,תל אביב יפו,3600000,0
126,4,דירה,דרך מנחם בגין,מונטיפיורי,תל אביב יפו,3575000,36
127,1,דירה,נחום סוקולוב,הצפון הישן,תל אביב יפו,1725000,0
128,4,דירה,צלוציסטי,הצפון הישן,הצפון הישן,4750000,5
129,1,דירה,נחום סוקולוב 74,הצפון הישן,תל אביב יפו,1725000,0
130,4,דירה,דיזנגוף,הצפון הישן,תל אביב יפו,4700000,3
131,5,דירה,החשמונאים,לב העיר,תל אביב יפו,4800000,27
132,1,מגרש למגורים,איינשטיין,הגוש הגדול,תל אביב יפו,1980000,0
133,4,דירה,נחמני,לב העיר,תל אביב יפו,5000000,2
134,3,דירה,הלסינקי,הצפון החדש,תל אביב יפו,3470000,2
135,3.5,דירה,וייצמן,תל אביב,תל אביב יפו,3550000,1
136,5,בית פרטי,טרומפלדור,נווה גנים,בית-דגן,2900000,0
137,4.5,דירה,לוחמי גליפולי,יד אליהו,תל אביב יפו,2650000,2
138,5,דירה,פרוג,יזנגוף,תל אביב יפו,100000,2
139,4,דירת גן,היערה,נוף העמק,מגדל העמק,1370000,0
